timestamp,gpu_0_power_w,total_power_w
1769561827.9829607,206.884,206.884
1769561828.5242076,198.081,198.081
1769561829.0642009,197.788,197.788
1769561829.565952,201.849,201.849
1769561830.0992205,203.86,203.86
1769561830.623553,201.775,201.775
1769561831.1635451,197.673,197.673
1769561831.696854,194.228,194.228
1769561832.1970434,190.961,190.961
1769561832.716235,195.365,195.365
1769561833.2345853,199.504,199.504
1769561833.7352724,197.881,197.881
1769561834.2387636,192.398,192.398
1769561834.7389445,191.615,191.615
1769561835.2586613,196.098,196.098
1769561835.7744868,200.624,200.624
1769561836.2957156,199.677,199.677
1769561836.8330789,196.788,196.788
1769561837.3461535,193.694,193.694
1769561837.8468227,193.3,193.3
1769561838.3634934,200.601,200.601
1769561838.9063601,196.455,196.455
1769561839.4435258,202.37,202.37
1769561839.958304,201.371,201.371
1769561840.4905314,194.864,194.864
1769561841.0367641,200.849,200.849
1769561841.582975,199.409,199.409
1769561842.1188009,195.98,195.98
1769561842.6438618,200.311,200.311
1769561843.163314,201.857,201.857
1769561843.7055807,195.494,195.494
1769561844.2507532,194.684,194.684
1769561844.7796097,189.872,189.872
1769561845.3046806,191.401,191.401
1769561845.8308144,196.372,196.372
1769561846.3562958,199.809,199.809
1769561846.8825557,197.382,197.382
1769561847.4309332,196.578,196.578
1769561847.9516118,198.809,198.809
1769561848.476626,199.045,199.045
1769561848.9775343,195.189,195.189
1769561849.478257,191.448,191.448
1769561850.0245605,193.867,193.867
1769561850.5759535,187.909,187.909
1769561851.117654,190.978,190.978
1769561851.6196413,191.969,191.969
1769561852.1382349,192.717,192.717
1769561852.6798818,198.084,198.084
1769561853.2271843,201.714,201.714
1769561853.7286327,200.881,200.881
1769561854.2492766,199.013,199.013
1769561854.7973988,193.156,193.156
1769561855.3361561,195.927,195.927
1769561855.8368297,192.447,192.447
1769561856.3581407,193.178,193.178
1769561856.866378,178.548,178.548
1769561857.415562,175.489,175.489
1769561857.9162712,200.589,200.589
1769561858.4399135,202.708,202.708
1769561858.9795485,197.907,197.907
1769561859.52404,195.139,195.139
1769561860.0673325,195.122,195.122
1769561860.612165,200.385,200.385
1769561861.1534507,198.194,198.194
1769561861.6542153,200.286,200.286
1769561862.195473,196.775,196.775
1769561862.7450795,197.161,197.161
1769561863.28686,201.514,201.514
1769561863.835121,192.039,192.039
1769561864.3816414,189.503,189.503
1769561864.8869314,196.024,196.024
1769561865.4146373,196.479,196.479
1769561865.9470384,203.069,203.069
1769561866.501402,195.861,195.861
1769561867.044887,194.035,194.035
1769561867.5476558,199.844,199.844
1769561868.0510926,195.136,195.136
1769561868.5881822,195.251,195.251
1769561869.124822,197.714,197.714
1769561869.6720972,193.948,193.948
1769561870.191818,196.023,196.023
1769561870.7126935,202.645,202.645
1769561871.2466993,197.475,197.475
1769561871.7897742,197.711,197.711
1769561872.3045886,196.954,196.954
1769561872.825323,202.471,202.471
1769561873.3259068,238.784,238.784
1769561874.0192711,279.238,279.238
1769561874.5194194,277.027,277.027
1769561875.0195458,301.699,301.699
1769561875.6624935,299.345,299.345
1769561876.2981417,305.141,305.141
1769561876.7983012,301.723,301.723
1769561877.4791675,290.224,290.224
1769561877.9793582,289.421,289.421
1769561878.479485,306.603,306.603
1769561878.9796069,354.439,354.439
1769561879.621854,318.275,318.275
1769561880.1494753,290.904,290.904
1769561880.6511655,289.235,289.235
1769561881.1515646,281.087,281.087
1769561881.651707,300.747,300.747
1769561882.1518257,332.195,332.195
1769561882.6519496,335.91,335.91
1769561883.3867922,290.451,290.451
1769561883.9025116,288.165,288.165
1769561884.5240462,295.036,295.036
1769561885.0424294,289.303,289.303
1769561885.5429156,286.956,286.956
1769561886.0431023,304.477,304.477
1769561886.5432935,317.014,317.014
1769561887.1915612,307.494,307.494
1769561887.692716,279.636,279.636
1769561888.1932974,311.118,311.118
1769561888.873563,292.557,292.557
1769561889.3737562,297.516,297.516
1769561889.8740757,329.277,329.277
1769561890.5747008,293.002,293.002
1769561891.0753534,288.624,288.624
1769561891.680863,280.817,280.817
1769561892.1812785,275.312,275.312
1769561892.6814687,337.023,337.023
1769561893.3633168,304.396,304.396
1769561893.8635578,283.185,283.185
1769561894.3637328,294.801,294.801
1769561895.0181956,303.33,303.33
1769561895.5183997,304.218,304.218
1769561896.0185776,283.317,283.317
1769561896.5187712,286.088,286.088
1769561897.019035,296.615,296.615
1769561897.709291,288.172,288.172
1769561898.2104754,282.482,282.482
1769561898.710797,313.717,313.717
1769561899.2111783,302.803,302.803
1769561899.7115574,290.488,290.488
1769561900.2118676,324.291,324.291
1769561900.8401952,316.061,316.061
1769561901.3404295,291.799,291.799
1769561901.840705,290.609,290.609
