timestamp,gpu_0_power_w,total_power_w
1769378384.03831,415.786,415.786
1769378384.538995,418.82,418.82
1769378385.04296,415.802,415.802
1769378385.5431135,423.407,423.407
1769378386.0550044,422.547,422.547
1769378386.555237,423.047,423.047
1769378387.0634995,418.789,418.789
1769378387.5641508,424.899,424.899
1769378388.0672507,433.389,433.389
1769378388.567566,422.399,422.399
1769378389.0676987,432.607,432.607
1769378389.5916069,424.229,424.229
1769378390.09175,435.198,435.198
1769378390.5918834,417.977,417.977
1769378391.1165195,438.788,438.788
1769378391.6166573,426.252,426.252
1769378392.11825,415.565,415.565
1769378392.6184084,430.762,430.762
1769378393.1203244,428.321,428.321
1769378393.6676176,437.491,437.491
1769378394.168529,432.288,432.288
1769378394.6869159,423.442,423.442
1769378395.1872137,411.909,411.909
1769378395.6874287,417.727,417.727
1769378396.192197,428.062,428.062
1769378396.6930432,432.152,432.152
1769378397.1967802,430.626,430.626
1769378397.736597,436.43,436.43
1769378398.237286,420.587,420.587
1769378398.7690737,413.973,413.973
1769378399.2693553,428.456,428.456
1769378399.7695012,425.993,425.993
1769378400.2697003,420.809,420.809
1769378400.771033,423.802,423.802
1769378401.2718892,421.294,421.294
1769378401.7802072,420.027,420.027
1769378402.2804186,428.907,428.907
1769378402.7842,439.051,439.051
1769378403.284836,438.561,438.561
1769378403.7873342,432.644,432.644
1769378404.287569,416.143,416.143
1769378404.792873,411.414,411.414
1769378405.293157,415.613,415.613
1769378405.7955813,418.267,418.267
1769378406.2958078,422.657,422.657
1769378406.7999887,430.105,430.105
1769378407.300241,424.562,424.562
1769378407.8032846,426.96,426.96
1769378408.3035843,424.199,424.199
1769378408.806262,433.499,433.499
1769378409.306488,427.16,427.16
1769378409.809183,423.507,423.507
1769378410.309715,411.835,411.835
1769378410.8122761,426.035,426.035
1769378411.3628128,425.982,425.982
1769378411.8638477,413.791,413.791
1769378412.3973503,416.575,416.575
1769378412.8980682,421.583,421.583
1769378413.399959,435.092,435.092
1769378413.9001474,426.42,426.42
1769378414.4024227,421.883,421.883
1769378414.9026062,422.149,422.149
1769378415.411524,420.623,420.623
1769378415.912252,419.153,419.153
1769378416.420703,418.816,418.816
1769378416.920876,412.271,412.271
1769378417.436477,423.062,423.062
1769378417.9372017,422.386,422.386
1769378418.4653885,412.875,412.875
1769378418.965564,417.917,417.917
1769378419.4857852,421.557,421.557
1769378419.9865282,406.974,406.974
1769378420.520117,403.917,403.917
1769378421.0208642,425.694,425.694
1769378421.551782,427.263,427.263
1769378422.0525348,401.934,401.934
1769378422.589683,417.465,417.465
1769378423.0899098,417.46,417.46
1769378423.6188421,408.918,408.918
1769378424.119517,420.56,420.56
1769378424.662662,421.778,421.778
1769378425.163395,403.701,403.701
1769378425.6965132,415.633,415.633
1769378426.1972606,416.956,416.956
1769378426.7014062,417.595,417.595
1769378427.202251,419.591,419.591
1769378427.7291064,417.91,417.91
1769378428.2298222,418.01,418.01
1769378428.7309234,429.174,429.174
1769378429.2316515,415.651,415.651
1769378429.775294,396.837,396.837
1769378430.2760131,416.74,416.74
1769378430.778208,428.142,428.142
1769378431.278384,429.145,429.145
1769378431.780292,433.291,433.291
1769378432.280537,424.453,424.453
1769378432.8069918,418.248,418.248
1769378433.3079646,409.412,409.412
1769378433.8564174,402.846,402.846
1769378434.3572443,422.635,422.635
1769378434.9069414,420.052,420.052
1769378435.407786,414.499,414.499
1769378435.9079692,404.88,404.88
1769378436.4181943,398.646,398.646
1769378436.9185004,420.186,420.186
1769378437.4639974,425.385,425.385
1769378437.9642558,414.808,414.808
1769378438.506069,420.633,420.633
1769378439.006798,408.924,408.924
1769378439.5496776,408.836,408.836
1769378440.0499988,419.276,419.276
1769378440.5979307,418.829,418.829
1769378441.0981145,406.668,406.668
1769378441.6381824,430.672,430.672
1769378442.1383533,422.134,422.134
1769378442.6385612,345.04,345.04
1769378443.1812532,357.333,357.333
1769378443.6816843,425.981,425.981
1769378444.1997468,419.223,419.223
1769378444.7003937,414.743,414.743
1769378445.2131433,422.681,422.681
1769378445.71395,422.255,422.255
1769378446.2359245,419.956,419.956
1769378446.7361407,412.011,412.011
1769378447.2363107,397.979,397.979
1769378447.7678819,416.672,416.672
1769378448.272348,409.72,409.72
1769378448.7725773,398.971,398.971
1769378449.306221,398.912,398.912
1769378449.8069375,418.682,418.682
1769378450.3070748,418.323,418.323
1769378450.844384,410.373,410.373
1769378451.3451347,395.451,395.451
1769378451.897544,413.117,413.117
1769378452.4105415,401.754,401.754
1769378452.9152489,390.718,390.718
1769378453.4154053,406.351,406.351
1769378453.9172478,390.313,390.313
1769378454.4443357,392.665,392.665
1769378454.944989,420.727,420.727
1769378455.4473307,404.086,404.086
1769378456.0031512,412.771,412.771
1769378456.503364,409.366,409.366
1769378457.0054464,427.124,427.124
1769378457.5056865,400.933,400.933
1769378458.0426855,405.575,405.575
1769378458.5431855,422.932,422.932
1769378459.061303,418.762,418.762
1769378459.5614388,417.358,417.358
1769378460.0615704,397.058,397.058
1769378460.5709062,402.938,402.938
1769378461.0746598,404.326,404.326
1769378461.5748467,400.525,400.525
1769378462.0773387,399.936,399.936
1769378462.5839238,400.744,400.744
1769378463.0846114,429.781,429.781
1769378463.6316,426.254,426.254
1769378464.1319263,396.8,396.8
1769378464.6780376,415.554,415.554
1769378465.1781938,422.367,422.367
1769378465.6783476,401.936,401.936
1769378466.1876967,409.983,409.983
1769378466.691311,422.733,422.733
1769378467.1914628,399.461,399.461
1769378467.6950436,416.197,416.197
1769378468.1951928,411.592,411.592
1769378468.7250147,428.634,428.634
1769378469.2256508,421.528,421.528
1769378469.7453382,420.23,420.23
1769378470.2454894,419.37,419.37
1769378470.7647295,420.009,420.009
1769378471.2648695,416.283,416.283
1769378471.7650757,392.919,392.919
1769378472.2758904,415.571,415.571
1769378472.7811103,410.53,410.53
1769378473.2921145,416.937,416.937
1769378473.792345,424.669,424.669
1769378474.329203,411.131,411.131
1769378474.8339727,412.49,412.49
1769378475.3625424,424.96,424.96
1769378475.8626726,402.884,402.884
1769378476.3628013,393.716,393.716
1769378476.885028,419.471,419.471
1769378477.3858936,411.435,411.435
1769378477.8977408,419.827,419.827
1769378478.4022741,421.339,421.339
1769378478.9025326,402.054,402.054
1769378479.4200087,401.559,401.559
1769378479.9227672,408.124,408.124
1769378480.4230566,397.353,397.353
1769378480.926878,410.346,410.346
1769378481.4316494,419.665,419.665
1769378481.9319093,392.665,392.665
1769378482.4667034,380.741,380.741
1769378482.9672678,410.947,410.947
1769378483.467499,424.636,424.636
1769378483.98153,416.066,416.066
1769378484.482868,418.915,418.915
1769378484.9913034,421.89,421.89
1769378485.4926856,412.04,412.04
1769378485.9930053,423.956,423.956
1769378486.5033224,415.622,415.622
1769378487.0034847,403.057,403.057
1769378487.5203333,423.249,423.249
1769378488.0204904,421.856,421.856
1769378488.5232677,418.295,418.295
1769378489.0234187,424.219,424.219
1769378489.532736,419.899,419.899
1769378490.0329108,431.129,431.129
1769378490.5381875,426.838,426.838
1769378491.0383685,416.953,416.953
1769378491.542288,417.45,417.45
1769378492.0424993,431.511,431.511
1769378492.5482602,420.35,420.35
